text,label
"DHL: your parcel is on hold. A $1.50 fee is due. Confirm here: fedex-redeliver-fee.co/2348",scam
"This is your grandson. My phone broke, this is my new number. Can you send $2,000 by Zelle? I'll explain later.",scam
"Work from home, earn $800 a day, no experience. Apply now on WhatsApp.",scam
"Your gas bill is $74.10, due March 15. Pay in the app or by mail.",safe
"This is your grandson. My phone broke, this is my new number. Can you send $500 by Zelle? I'll explain later.",scam
"Hulu: a new device signed in. If this was you, no action is needed.",safe
"Reminder: your appointment with Dr. Patel is Monday at 10:30am. Reply C to confirm.",safe
"Work from home, earn $800 a day, no experience. Apply now on Telegram.",scam
"Toll notice: you have an unpaid balance of $2.99. Pay now to avoid a late fee: ezpass-billing.top",scam
"Send me the 6 digit code you just received to verify your identity.",scam
"Walmart: your payment failed. Update your billing at hulu-account-verify.co to avoid cancellation.",scam
"Reminder: your appointment with Dr. Kim is Monday at 9am. Reply C to confirm.",safe
"Send me the 6 digit code you just received to verify your identity.",scam
"Your table for 2 at Panera is confirmed for 6:30 tonight.",safe
"Thanks for your payment of $2,000 to the electric company. Payment received.",safe
"This is your grandson. My phone broke, this is my new number. Can you send $1,299 by Cash App? I'll explain later.",scam
"Coinbase support: to restore access, confirm your wallet seed phrase with our agent.",scam
"Send me the 6 digit code you just received to verify your identity.",scam
"This is your grandson. My phone broke, this is my new number. Can you send $899 by Cash App? I'll explain later.",scam
"Capital One Fraud: did you authorize a $450 charge? Reply NO or call 213-555-0459 to dispute.",scam
"Coinbase support: to restore access, confirm your wallet seed phrase with our agent.",scam
"Your account is locked. Buy a $200 iTunes gift card and send the code to release it.",scam
"PNC: you spent $62.40 at Shell. Not you? Check your app.",safe
"Toll notice: you have an unpaid balance of $3.20. Pay now to avoid a late fee: ezpass-billing.icu",scam
"TD Bank: you spent $62.40 at Shell. Not you? Check your app.",safe
"Hi Grandpa, running 10 minutes late for lunch, see you soon!",safe
"Costco: your payment failed. Update your billing at disney+-account-verify.top to avoid cancellation.",scam
"Hi dear, I feel such a connection with you. Let me teach you about crypto trading, I made $750 last week. Message me on Telegram.",scam
"UPS: your parcel is on hold. A $3.20 fee is due. Confirm here: thepostoffice-redeliver-fee.co/6068",scam
"Scan this QR code to receive your $50 PayPal refund instantly.",scam
"Your gas bill is $74.10, due March 15. Pay in the app or by mail.",safe
"Grandma it's me, I'm in the hospital and need $1,299 for bail. Please don't tell mom or dad.",scam
"Toll notice: you have an unpaid balance of $1.50. Pay now to avoid a late fee: ezpass-billing.xyz",scam
"Work from home, earn $300 a day, no experience. Apply now on Telegram.",scam
"Your Southwest flight is on time at 10:15am tomorrow.",safe
"the post office: your parcel is on hold. A $3.20 fee is due. Confirm here: ups-redeliver-fee.co/491",scam
"DMV: report Monday 8:30am, room 210.",safe
"IRS: your benefits is suspended. Call immediately or a warrant will be issued.",scam
"Hi dear, I feel such a connection with you. Let me teach you about crypto trading, I made $1,450 last week. Message me on Telegram.",scam
"Your tax refund of $1,450 is pending. Verify your bank details to claim it: refund-gov.top",scam
"Citi: you spent $43.12 at Kroger. Not you? Check your app.",safe
"Binance support: to restore access, confirm your wallet seed phrase with our agent.",scam
"Your United flight is on time departing gate B12.",safe
"Grandma it's me, I'm in the hospital and need $750 for the doctor. Please don't tell mom or dad.",scam
"Hi Grandpa, running 10 minutes late for lunch, see you soon!",safe
"Adorable kittens ready today, just send the $200 shipping deposit via Cash App.",scam
"Lyft: your driver Tom is arriving in a white Camry, plate XJK-2214.",safe
"Your Southwest flight check-in opens at 10:15am tomorrow.",safe
"Church bible study moved to Wednesday 5pm, bring your famous casserole!",safe
"Capital One Fraud: did you authorize a $500 charge? Reply NO or call 213-555-0199 to dispute.",scam
"PNC Fraud: did you authorize a $899 charge? Reply NO or call 917-555-0310 to dispute.",scam
"DHL: your parcel is on hold. A $3.20 fee is due. Confirm here: thepostoffice-redeliver-fee.co/4178",scam
"Microsoft support: viruses were detected on your computer. Install TeamViewer so our technician can fix it.",scam
"Your tax refund of $2,000 is pending. Verify your bank details to claim it: refund-gov.top",scam
"I have a video of you from your webcam. Pay $800 in bitcoin within 48 hours or I send it to all your contacts.",scam
"Your account is locked. Buy a $100 Apple gift card and send the code to release it.",scam
"UPS: your package was delivered at 4:47pm. Track more at fedex.com.",safe
"US Bank Fraud: did you authorize a $899 charge? Reply NO or call 415-555-0460 to dispute.",scam
"Your Southwest flight is on time departing gate B12.",safe
"Your United flight is on time at 10:15am tomorrow.",safe
"School closed tomorrow due to snow. All after-school activities canceled.",safe
"Microsoft support: viruses were detected on your computer. Install AnyDesk so our technician can fix it.",scam
"Your library books are due Friday. Total: $212.50.",safe
"Hi it's Carol, are we still on for coffee Friday?",safe
"I have a video of you from your webcam. Pay $1200 in bitcoin within 48 hours or I send it to all your contacts.",scam
"School closed tomorrow due to snow. All after-school activities canceled.",safe
"Your account is locked. Buy a $200 iTunes gift card and send the code to release it.",scam
"I have a video of you from your webcam. Pay $1200 in bitcoin within 48 hours or I send it to all your contacts.",scam
"Scan this QR code to receive your $50 Zelle refund instantly.",scam
"This is your grandson. My phone broke, this is my new number. Can you send $2,000 by Venmo? I'll explain later.",scam
"Send me the 6 digit code you just received to verify your identity.",scam
"Reminder: your appointment with Dr. Ruiz is Monday at 9am. Reply C to confirm.",safe
"Hi dear, I feel such a connection with you. Let me teach you about crypto trading, I made $899 last week. Message me on WhatsApp.",scam
"Toll notice: you have an unpaid balance of $2.99. Pay now to avoid a late fee: ezpass-billing.icu",scam
"Your table for 2 at Panera is confirmed for 6:30 tonight.",safe
"Hi it's Sarah, are we still on for bridge Friday?",safe
"Send me the 6 digit code you just received to verify your identity.",scam
"Sorry, wrong number! But you seem nice. Where are you from? I'm Grace, nice to meet a new friend :)",scam
"Your prescription is ready for pickup at Walgreens pharmacy #282.",safe
"Hi Grandma, running 10 minutes late for dinner, see you soon!",safe
"Microsoft support: viruses were detected on your computer. Install TeamViewer so our technician can fix it.",scam
"We can recover the money you lost to a scam. Our firm needs a $300 retainer first.",scam
"Your prescription is ready for pickup at CVS pharmacy #567.",safe
"Scan this QR code to receive your $100 PayPal refund instantly.",scam
"Medicare: your account is suspended. Call immediately or a warrant will be issued.",scam
"Hi it's Carol, are we still on for lunch Friday?",safe
"Citi Fraud: did you authorize a $1,450 charge? Reply NO or call 415-555-0567 to dispute.",scam
"Hi dear, I feel such a connection with you. Let me teach you about crypto trading, I made $1,450 last week. Message me on Telegram.",scam
"Grandma it's me, I'm in an accident and need $1,450 for bail. Please don't tell mom or dad.",scam
"Adorable puppies ready today, just send the $200 shipping deposit via Zelle.",scam
"Hi it's Carol, are we still on for coffee Thursday?",safe
"Microsoft support: viruses were detected on your computer. Install TeamViewer so our technician can fix it.",scam
"Scan this QR code to receive your $50 PayPal refund instantly.",scam
"Your water bill is $74.10, due March 15. Pay in the app or by mail.",safe
"Hulu: your order #824-5212573 has shipped. Arriving Thursday.",safe
"Apple: your order #905-4272485 has shipped. Arriving Tuesday.",safe
"Hi Mom, running 10 minutes late for lunch, see you soon!",safe
"Netflix: your payment failed. Update your billing at paypal-account-verify.top to avoid cancellation.",scam
"Your Capital One verification code is 658388. Do not share this code with anyone.",safe
"Microsoft support: viruses were detected on your computer. Install AnyDesk so our technician can fix it.",scam
"Adorable kittens ready today, just send the $300 shipping deposit via Cash App.",scam
"Reminder: your appointment with Dr. Kim is Monday at 2pm. Reply C to confirm.",safe
"You have won a $1000 Walmart gift! Claim now with a small processing fee.",scam
"This is your grandson. My phone broke, this is my new number. Can you send $899 by Venmo? I'll explain later.",scam
"the post office: your parcel is on hold. A $1.95 fee is due. Confirm here: ups-redeliver-fee.co/8245",scam
"UPS: your parcel is on hold. A $0.99 fee is due. Confirm here: dhl-redeliver-fee.co/3807",scam
"TD Bank: you spent $43.12 at Target. Not you? Check your app.",safe
"Your TD Bank verification code is 231469. Do not share this code with anyone.",safe
"USPS: your package was delivered at 11:02am. Track more at usps.com.",safe
"Reminder from Trinity Church: water aerobics Wednesday 7pm.",safe
"USPS: your parcel is on hold. A $1.50 fee is due. Confirm here: dhl-redeliver-fee.co/3703",scam
"You have won a $1000 Walmart reward! Claim now with a small processing fee.",scam
"PayPal: a new device signed in. If this was you, no action is needed.",safe
"Hi Dad, running 15 minutes late for dinner, see you soon!",safe
"Grandma it's me, I'm in jail and need $500 for bail. Please don't tell mom or dad.",scam
"Grandma it's me, I'm in jail and need $899 for a lawyer. Please don't tell mom or dad.",scam
"I have a video of you from your webcam. Pay $1200 in bitcoin within 48 hours or I send it to all your contacts.",scam
"Reminder: your appointment with Dr. Nguyen is Monday at 10:30am. Reply C to confirm.",safe
"PNC: you spent $18.90 at Kroger. Not you? Check your app.",safe
"Capital One: you spent $62.40 at Kroger. Not you? Check your app.",safe
"Medicare: your benefits is suspended. Call immediately or a warrant will be issued.",scam
"This is the PNC fraud department. To keep your money safe we need to move it to a secure account right away.",scam
"Send me the 6 digit code you just received to verify your identity.",scam
"Lyft: your driver Sara is arriving in a blue Civic, plate XJK-2214.",safe
"School closed tomorrow due to snow. All after-school activities canceled.",safe
"Your account is locked. Buy a $500 Steam gift card and send the code to release it.",scam
"Your prescription is ready for pickup at CVS pharmacy #359.",safe
"Binance support: to restore access, confirm your wallet seed phrase with our agent.",scam
"PayPal: a new device signed in. If this was you, no action is needed.",safe
"Grandma it's me, I'm in an accident and need $1,450 for a lawyer. Please don't tell mom or dad.",scam
"Hi Grandma, running 10 minutes late for lunch, see you soon!",safe
"Medicare: your benefits is suspended. Call immediately or a warrant will be issued.",scam
"Your account is locked. Buy a $200 Google Play gift card and send the code to release it.",scam
"IRS: your account is suspended. Call immediately or a warrant will be issued.",scam
"This is the PNC fraud department. To keep your money safe we need to move it to a secure account right away.",scam
"This is your grandson. My phone broke, this is my new number. Can you send $2,000 by Cash App? I'll explain later.",scam
"FedEx: your package was delivered at 4:47pm. Track more at usps.com.",safe
"Your tax refund of $450 is pending. Verify your bank details to claim it: refund-gov.xyz",scam
"Church bible study moved to Wednesday 7pm, bring your famous casserole!",safe
"Hi Dad, running 15 minutes late for dinner, see you soon!",safe
"Your library books are ready for pickup. Renew online.",safe
"Bank of America Fraud: did you authorize a $500 charge? Reply NO or call 347-555-0859 to dispute.",scam
"Scan this QR code to receive your $100 Zelle refund instantly.",scam
"DMV: report Monday 8:30am, room 210.",safe
"the post office: your package was delivered at 11:02am. Track more at fedex.com.",safe
"Adorable puppies ready today, just send the $200 shipping deposit via Zelle.",scam
"FedEx: your package was delivered at 2:14pm. Track more at usps.com.",safe
"Scan this QR code to receive your $100 Zelle refund instantly.",scam
"Your electric bill is $118.22, due March 15. Pay in the app or by mail.",safe
"Your prescription is ready for pickup at CVS pharmacy #862.",safe
"Thanks for your payment of $899 to the electric company. Payment received.",safe
"Zelle: you received $50.00 from Aunt Carol. It's in your account.",safe
"Grandma it's me, I'm in an accident and need $899 for the doctor. Please don't tell mom or dad.",scam
"Your tax refund of $1,299 is pending. Verify your bank details to claim it: refund-gov.xyz",scam
"Amazon: your payment failed. Update your billing at paypal-account-verify.co to avoid cancellation.",scam
"Your prescription is ready for pickup at Walgreens pharmacy #798.",safe
"Your table for 4 at Olive Garden is confirmed for 6:30 tonight.",safe
"Work from home, earn $500 a day, no experience. Apply now on WhatsApp.",scam
"Zelle: you received $50.00 from Aunt Carol. It's in your account.",safe
"Your table for 4 at the Italian place is confirmed for 6:30 tonight.",safe
"Your library books are due Friday. Renew online.",safe
"Toll notice: you have an unpaid balance of $2.99. Pay now to avoid a late fee: ezpass-billing.xyz",scam
"You have won a Publishers Clearing House gift! Claim now with a small processing fee.",scam
"We can recover the money you lost to a scam. Our firm needs a $500 retainer first.",scam
"Hi it's Mike, are we still on for lunch Friday?",safe
"Hulu: your payment failed. Update your billing at disney+-account-verify.top to avoid cancellation.",scam
"Adorable kittens ready today, just send the $300 shipping deposit via Cash App.",scam
"Toll notice: you have an unpaid balance of $4.75. Pay now to avoid a late fee: ezpass-billing.icu",scam
"This is the Capital One fraud department. To keep your money safe we need to move it to a secure account right away.",scam
"US Bank Fraud: did you authorize a $1,299 charge? Reply NO or call 213-555-0996 to dispute.",scam
"Scan this QR code to receive your $50 Zelle refund instantly.",scam
"Church bible study moved to Wednesday 5pm, bring your famous casserole!",safe
"Your car is due Friday. Total: $212.50.",safe
"This is the PNC fraud department. To keep your money safe we need to move it to a secure account right away.",scam
"Hi dear, I feel such a connection with you. Let me teach you about crypto trading, I made $1,299 last week. Message me on WhatsApp.",scam
"PayPal: a new device signed in. If this was you, no action is needed.",safe
"Toll notice: you have an unpaid balance of $1.95. Pay now to avoid a late fee: ezpass-billing.top",scam
"Your TD Bank verification code is 802858. Do not share this code with anyone.",safe
"Your prescription is ready for pickup at Walgreens pharmacy #840.",safe
"Your account is locked. Buy a $100 Vanilla gift card and send the code to release it.",scam
"Thanks for your payment of $1,299 to Comcast. Payment received.",safe
"Reminder from Trinity Church: choir practice Wednesday 7pm.",safe
"Social Security Administration: your benefits is suspended. Call immediately or a warrant will be issued.",scam
"Your tax refund of $899 is pending. Verify your bank details to claim it: refund-gov.xyz",scam
"Netflix: your order #799-1114833 has shipped. Arriving Friday.",safe
"Your prescription is ready for pickup at CVS pharmacy #430.",safe
"This is your grandson. My phone broke, this is my new number. Can you send $899 by Zelle? I'll explain later.",scam
"Your library books are due Friday. Total: $212.50.",safe
"Walmart: your order #344-657286 has shipped. Arriving Tuesday.",safe
"Your United flight is on time departing gate B12.",safe
"This is the Citi fraud department. To keep your money safe we need to move it to a secure account right away.",scam
"FedEx: your package was delivered at 11:02am. Track more at fedex.com.",safe
"I have a video of you from your webcam. Pay $800 in bitcoin within 48 hours or I send it to all your contacts.",scam
"This is the Bank of America fraud department. To keep your money safe we need to move it to a secure account right away.",scam
"Sorry, wrong number! But you seem nice. Where are you from? I'm Grace, nice to meet a new friend :)",scam
"Grandma it's me, I'm in the hospital and need $750 for bail. Please don't tell mom or dad.",scam
"Costco: your payment failed. Update your billing at disney+-account-verify.xyz to avoid cancellation.",scam
"USPS: your package was delivered at 2:14pm. Track more at ups.com.",safe
"Microsoft support: viruses were detected on your computer. Install AnyDesk so our technician can fix it.",scam
"This is the US Bank fraud department. To keep your money safe we need to move it to a secure account right away.",scam
"Hi dear, I feel such a connection with you. Let me teach you about crypto trading, I made $899 last week. Message me on Telegram.",scam
"Sorry, wrong number! But you seem nice. Where are you from? I'm Amy, nice to meet a new friend :)",scam
